original_language,movie_count,share_percent
en,21923,67.37
es,1661,5.1
ja,1639,5.04
pt,676,2.08
de,631,1.94
id,604,1.86
fr,591,1.82
it,575,1.77
zh,496,1.52
cn,423,1.3
ko,403,1.24
th,379,1.16
tl,280,0.86
hi,216,0.66
ru,202,0.62
tr,191,0.59
ta,152,0.47
ms,129,0.4
sv,128,0.39
nl,96,0.3
no,82,0.25
ml,76,0.23
da,75,0.23
xx,75,0.23
pl,62,0.19
fi,60,0.18
ar,56,0.17
te,55,0.17
bn,50,0.15
cs,50,0.15
kn,37,0.11
vi,35,0.11
sr,32,0.1
el,32,0.1
fa,25,0.08
sh,25,0.08
uk,21,0.06
km,21,0.06
is,20,0.06
et,20,0.06
he,18,0.06
sl,17,0.05
hr,17,0.05
hu,14,0.04
ur,13,0.04
lv,11,0.03
mr,8,0.02
ro,8,0.02
sk,8,0.02
jv,8,0.02
ne,7,0.02
si,7,0.02
mk,6,0.02
ca,6,0.02
gl,6,0.02
eu,5,0.02
my,5,0.02
mn,5,0.02
nb,4,0.01
bg,4,0.01
lt,4,0.01
dv,4,0.01
eo,3,0.01
lo,3,0.01
cy,3,0.01
af,3,0.01
bs,3,0.01
kl,3,0.01
as,2,0.01
tw,2,0.01
fo,2,0.01
pa,2,0.01
xh,1,0.0
ga,1,0.0
sq,1,0.0
az,1,0.0
cr,1,0.0
mh,1,0.0
ig,1,0.0
so,1,0.0
lb,1,0.0
bo,1,0.0
kk,1,0.0
yi,1,0.0
gv,1,0.0
mt,1,0.0
mg,1,0.0
gu,1,0.0
sn,1,0.0
ky,1,0.0
su,1,0.0
ss,1,0.0
ps,1,0.0
la,1,0.0
lg,1,0.0
to,1,0.0
am,1,0.0
