column,missing_count,missing_rate
id,0,0.0
original_title,0,0.0
title,0,0.0
original_language,0,0.0
overview,1286,0.03952059004302397
tagline,19837,0.6096189305470191
release_date,0,0.0
poster_path,4474,0.13749231714812538
popularity,0,0.0
vote_count,0,0.0
vote_average,0,0.0
budget,0,0.0
revenue,0,0.0
runtime,2668,0.08199139520590043
status,0,0.0
adult,0,0.0
backdrop_path,18995,0.5837430854333129
genre_names,0,0.0
collection_info,30234,0.9291333743085434
release_year,0,0.0
is_collection,0,0.0
