release_year,movie_count
1950,8
1951,15
1952,11
1953,22
1954,27
1955,28
1956,33
1957,60
1958,75
1959,61
1960,58
1961,55
1962,67
1963,70
1964,86
1965,73
1966,65
1967,82
1968,104
1969,109
1970,130
1971,156
1972,209
1973,204
1974,201
1975,166
1976,148
1977,135
1978,141
1979,136
1980,192
1981,230
1982,216
1983,184
1984,160
1985,212
1986,226
1987,322
1988,413
1989,408
1990,320
1991,272
1992,257
1993,239
1994,211
1995,239
1996,247
1997,228
1998,244
1999,301
2000,337
2001,328
2002,401
2003,431
2004,515
2005,589
2006,738
2007,757
2008,766
2009,808
2010,834
2011,910
2012,1032
2013,1123
2014,1314
2015,1420
2016,1414
2017,1675
2018,1771
2019,1895
2020,2100
2021,1992
2022,1534
