release_year,movie_count,avg_popularity,median_popularity
1950,8,0.8039999999999999,0.6
1951,15,2.5212,1.4
1952,11,1.9327272727272728,1.926
1953,22,2.977454545454546,1.52
1954,27,2.872037037037037,1.259
1955,28,3.888214285714286,2.356
1956,33,3.0616666666666665,1.64
1957,60,2.8045666666666667,1.665
1958,75,2.7110533333333335,1.719
1959,61,2.70172131147541,1.709
1960,58,3.893103448275862,1.8575
1961,55,2.2547454545454544,1.382
1962,67,2.356805970149254,1.241
1963,70,3.0312714285714284,1.286
1964,86,2.5813604651162794,1.2505000000000002
1965,73,2.3574657534246577,1.4
1966,65,2.7531692307692306,2.108
1967,82,2.4767682926829266,1.3984999999999999
1968,104,2.3064903846153846,1.069
1969,109,1.789559633027523,1.025
1970,130,2.1747615384615386,1.3175
1971,156,2.5347756410256412,1.621
1972,209,2.8596746411483256,1.606
1973,204,3.115950980392157,1.6995
1974,201,2.4073880597014923,1.254
1975,166,2.7594819277108433,1.035
1976,148,3.150358108108108,1.2105000000000001
1977,135,3.7957259259259257,1.823
1978,141,4.15009219858156,1.505
1979,136,3.0608529411764707,1.2835
1980,192,3.7679010416666667,1.363
1981,230,3.734991304347826,1.176
1982,216,3.4544722222222224,1.396
1983,184,2.9547499999999998,1.2985
1984,160,3.1865187500000003,0.9205
1985,212,3.3727547169811323,1.09
1986,226,3.4611106194690264,1.3025
1987,322,2.940788819875776,1.174
1988,413,3.1682445520581113,1.183
1989,408,2.5816299019607847,1.154
1990,320,3.194671875,1.0194999999999999
1991,272,2.5181286764705884,0.7144999999999999
1992,257,3.099455252918288,0.9
1993,239,2.9908158995815897,0.84
1994,211,2.4647535545023698,0.805
1995,239,3.187682008368201,1.049
1996,247,3.126987854251012,0.93
1997,228,3.054342105263158,0.7805
1998,244,3.5577827868852454,0.9345
1999,301,3.020093023255814,0.83
2000,337,3.071925816023739,0.947
2001,328,3.6462439024390245,1.113
2002,401,4.064079800498753,0.891
2003,431,3.5121600928074246,0.841
2004,515,3.3305844660194173,1.002
2005,589,3.859780984719864,1.152
2006,738,3.292875338753387,1.193
2007,757,4.02654821664465,1.232
2008,766,2.7694464751958225,1.0259999999999998
2009,808,4.414482673267327,1.1804999999999999
2010,834,3.2400731414868105,1.0305
2011,910,3.081918681318681,0.84
2012,1032,3.035548449612403,0.8274999999999999
2013,1123,3.2366821015138023,0.698
2014,1314,2.8776925418569252,0.6964999999999999
2015,1420,2.805954929577465,0.6705000000000001
2016,1414,3.099536775106082,0.7144999999999999
2017,1675,2.851478805970149,0.6
2018,1771,2.8819073969508753,0.6
2019,1895,2.856309234828496,0.6
2020,2100,3.050336666666667,0.6
2021,1992,5.2672565261044175,0.6
2022,1534,19.42663037809648,1.0445
