release_year,avg_vote_average,median_vote_average
1950,4.7,5.5
1951,4.306666666666667,5.4
1952,4.127272727272727,5.3
1953,5.122727272727273,6.0
1954,4.296296296296297,5.3
1955,4.692857142857143,5.35
1956,4.1030303030303035,5.2
1957,4.866666666666666,5.0
1958,4.277333333333334,5.0
1959,4.667213114754098,5.3
1960,5.056896551724138,5.85
1961,4.043636363636364,5.0
1962,4.31044776119403,5.2
1963,4.682857142857143,5.300000000000001
1964,4.066279069767441,5.0
1965,4.713698630136987,5.3
1966,5.01076923076923,5.4
1967,4.3585365853658535,5.1
1968,4.398076923076923,5.35
1969,3.9752293577981654,5.0
1970,4.068461538461539,4.95
1971,4.341025641025642,5.0
1972,4.617703349282297,5.3
1973,4.424019607843137,5.15
1974,4.166666666666667,5.0
1975,3.8837349397590364,4.8
1976,3.8574324324324323,4.5
1977,4.363703703703704,5.1
1978,4.287943262411348,5.0
1979,4.283823529411765,5.15
1980,4.004166666666666,4.95
1981,3.6608695652173915,4.85
1982,4.048148148148148,5.0
1983,3.9125,4.8
1984,3.6350000000000002,4.35
1985,3.712735849056604,4.5
1986,3.9606194690265486,4.8
1987,3.9763975155279505,4.5
1988,3.768038740920097,4.5
1989,3.618137254901961,4.5
1990,3.5940624999999997,4.35
1991,3.2900735294117647,4.0
1992,3.3770428015564202,4.2
1993,3.5230125523012554,4.3
1994,3.1687203791469196,3.6
1995,3.581589958158996,4.4
1996,3.2016194331983803,3.7
1997,3.0978070175438592,3.4
1998,3.0848360655737705,3.4
1999,3.234883720930233,3.7
2000,3.4261127596439165,4.2
2001,3.4082317073170736,4.0
2002,3.107231920199501,3.5
2003,3.131554524361949,3.4
2004,3.392621359223301,4.0
2005,3.529032258064516,4.0
2006,3.52710027100271,4.0
2007,3.524966974900925,4.1
2008,3.4292428198433424,4.0
2009,3.4044554455445546,4.0
2010,3.488848920863309,4.0
2011,3.4212087912087914,4.0
2012,3.290406976744186,4.0
2013,3.3311665182546752,3.9
2014,3.233181126331811,3.9
2015,3.297253521126761,3.9
2016,3.2602545968882604,3.8
2017,3.3876417910447763,4.0
2018,3.2163184641445515,3.8
2019,3.2884960422163587,4.0
2020,3.0083809523809526,1.0
2021,2.5787650602409635,0.0
2022,2.1620599739243804,0.0
